30;Послушайте, ваш кот так ужасно орёт про ночам?Да, с тех пор, как он сожрал канарейку, он вообразил себе, что умеет петь;клас = 1
31;Если внимательно присмотреться, то во всём есть свои плюсы. Например, во время масочного режима куда-то исчезли несимпатичные девушки;клас = 0
32;Карантинные хроники. Наши собаки уверены, что мы бросили работу ради них. Наши коты думают, что нас уволили, потому что мы - лохи. В чём, собственно, они никогда и не сомневались;клас = 1
33;Скоро Новый год! Пора изменить жизнь к лучшему.Маску в кармане на свежую заменить собрался;клас = 0
34;Тяжелей всего сейчас котам, когда в доме самоизолированы ВСЕ дети;клас = 1
35;Китай заявил, что появление в Британии нового штамма коронавируса - это нарушение авторского права;клас = 0
36;Как сказать коту, что нерабочие дни продляться до 30 апреля;клас = 1
37;Вы слышали: Путин сказал, что сделает прививку от коронавируса? А кому сделает-то?;клас = 0
38;Многие мечтали пожить хотя бы неделю как их котэ. Ну вот...;клас = 1
39;Из-за коронавируса COVID-19 отменили концерты Ольги Бузовой... Уже в который раз Природа встает на защиту людей!;клас = 0
40;Мой кот начинает проявлять нервозность, потому что я уже несколько дней постоянно нахожусь в его квартире…;клас = 1
41;Володин сообщил о пяти случаях повторного заражения COVID-19 в Госдуме.Странно, почему депутаты до сих пор не защитили себя законом о запрете повторного заражения!;клас = 0
42;Пятый день лежу на диване, кот уже видит во мне конкурента;клас = 1
43;Лучшим врачом года признан доктор, давший совет "Покупая хлеб на 5 дней, вы снижаете риск заражения коронавирусом на 80%;клас = 0
44;Я никогда не называл себя котовладельцем. У меня нет никаких иллюзий по поводу того, кто кем на самом деле владеет;клас = 1
45;Ну, карантин на Рождество немцы как-нибудь стерпят, а вот на Курбан-Байрам могут и взбунтоваться;клас = 0
46;Пробыв несколько дней дома, я понял почему кот постоянно просит жрать...;клас = 1
47;А что делать с теми, кто не носит маски? Да чихайте на них!;клас = 0
48;Женщине биологически надо 80 кг волосатого существа рядом. В зависимости от её красивости и сговорчивости, это будет либо мужик, либо 10-15 котов;клас = 1
49;Выздоровевшие от ковида болеют только один раз.Да и невыздоровевшие тоже;клас = 0
50;Как хорошо, что кот, хорёк и я едим одно и то же. Часто выручаем друг друга;клас = 1
51;На заводе УралВагонЗавод началась ловля трезвых слесарей для вакцинации. Пока не поймали ни одного;клас = 0
52;Чтобы кошки быстрее поддавались дрессировке и вообще вели себя как шёлковые, Юрий Куклачев заказывает и демонстративно ест шаурму;клас = 1
53;Как только Голикова сказала, что для вакцинации надо быть трезвым, а так же потом 42 дня не пить - я сразу понял, что массовая вакцинация в России провалилась;клас = 0
54;Кот съел четыре килограмма шашлыка, взвесили кота - ровно 4 килограмма. Загадка - куда делся кот?;клас = 1
55;О российской вакцине от коронавируса уже слагают легенды, сказки, тосты. Причем, лучше всего получаются сказки;клас = 0
56;У кого-то кошки спят на бумаге, у кого-то в коробках, а я свою на помойке подобрал. И она иногда спит на кухне в мусорном ведре;клас = 1
57;Большинство россиян отказалось прививаться после того, как вице-премьер России Татьяна Голикова призвала не пить спиртное в течение 42 дней после вакцинации от COVID-19;клас = 0
58;Коварству кошек нет предела! Они больше не могуть съесть нас, как их предки ели наших предков. Так они лаской заставляют нас покупать им еду!;клас = 1
59;О российской вакцине от коронавируса уже слагают легенды, сказки, тосты. Причем, лучше всего получаются сказки;клас = 0
60;Мой друг никогда не носит костюм, галстук, портфель, часы, носовой платок, расчёску, обручальное кольцо, смартфон...Котам это не нужно;клас = 1
61;Вакцинацию непроверенной вакциной решили начать с учителей. И правильно. Будут знать, как выборы подтасовывать;клас = 0
62;Сегодня мне мой кот сказал, что если бы не он, то я бы сошёл с ума от одиночества;клас = 1
63;Владимир Путин приказал вакцинировать миллионы россиян, чтобы убедить самого себя в безопасности российской вакцины;клас = 0
64;Раскрыта загадка улыбки чеширского кота. Это всё, что осталось от кота Шрёдингера;клас = 1
65;Зашел супермаркет, охранник замерил температуру: 35,2.Суки, уже на входе обвесили;клас = 0
66;Муж упрекает меня в том, что я коту готовлю чаще, чем ему.Я вот думаю, признаваться или нет, что я готовлю только коту, а он просто доедает;клас = 1
67;В гости можно сейчас позвать только одну семью, а на похороны 30 человек.Я приглашаю вас на похороны моего гуся, который помрёт 24 декабря;клас = 0
68;Канадские знакомые рассказывали, как на их соседей настучали другие соседи за то, что "их кошка грустная, и у неё нет игрушек". Пришлось покупать кошке игрушки;клас = 1
69;Кто не успел жениться, поспешите. Только в этом году свадьба без гостей;клас = 0
70;У бабушек со склерозом самые толстые и счастливые коты...;клас = 1
71;Моя борьба с открыванием пакетиков в магазине пока заканчивается заплёванной маской изнутри;клас = 0
72;У дочки кот привел чужую кошечку в дом и разрешил есть из своей миски. Дочь сказала, что теперь примерно представляет чувства свекрови при знакомстве с невесткой...;клас = 1
73;Забавляют люди, которые всю жизнь едят сосиски, но отказываются от вакцины, потому что не знают, что в ней может содержаться;клас = 0
74;У меня котёнок - оптимист. Жрёт корм для взрослых собак крупных пород;клас = 1
75;Если у нас штрафуют за нахождение без маски в общественном месте, почему не премируют тех, кто носит по две?;клас = 0
76;Глажу кошку после того, как руками поем жареную курицу или колбасу, чтобы ей было вкусно умываться;клас = 1
77;Дайте мне, пожалуйста, две банки черной икры.А у тебя маска не треснет?;клас = 0
78;Пришел к выводу, что наш кот относится ко мне, как к богу. То есть, игнорирует мое существование до тех пор, пока ему от меня что-то не понадобится;клас = 1
79;Если кто-то не соблюдает соц. дистанцию - не стоит сразу делать замечание, просто тактично кашляните;клас = 0
80;В субботу решил посадить кошку на диету, а то она слишком толстая стала. А сегодня она родила. А на что ты готов ради жратвы?;клас = 1
81;Минута молчания за женщин, которые надули губы за 2000 евро и сейчас вынуждены носить маску за 1 евро;клас = 0
82;С утра до рассвета начали петь птички. Наш кот часами слушает их на улице, стараясь приблизиться к каждому солисту.Но солисты начеку!;клас = 1
83;Говорят, что третья волна коронавируса наступит в марте. А можно сразу озвучить, сколько сезонов в этом блядском сериале?;клас = 0
84;Радикальных феминисток всецело поддерживают только кошки, потому что они максимально заинтересованы в том, чтобы женщина оставалась одинокой всю жизнь;клас = 1
85;Не так страшен черт, как его мутации;клас = 0
86;Если кошка умывается - жди гостей.Если кошка при этом чистит зубы зубной щеткой - гости будут в белых халатах;клас = 1
87;А теперь хорошие новости! За последние сутки 23 456 граждан начали выработку антител к коронавирусу. В больницах освободилось 490 коек;клас = 0
88;Лайфхак. Можно вечером класть пакетик корма под подушку, а когда утром коты придут будить на предмет пожрать, не просыпаясь вскрыть его и забросить подальше.;клас = 1
89;Как называется варенье без вкуса и запаха?Ковидло!;клас = 0
90;Жена привела вторую кошку.Первая кошка считает, что лучше бы я привёл вторую жену;клас = 1
91;Есть вопрос! Может, кто с таким уже сталкивался? Если в маске поломалась проволока, можно ли её как-то поменять или это уже всё?;клас = 0
92;Кто то любит собачек, кто то кошечек. А я люблю волков, они никогда не срут в доме;клас = 1
93;И где же заражается ковидом наша элита? В общественном транспорте не ездит, по магазинам не ходит. Есть только одно объяснение: официанты плюют им в еду;клас = 0
94;В пачке вискаса теперь не 400, а 300 грамм, приходится объяснять коту про нефть, про ндс и про пенсии;клас = 1
95;Пошла на кухню проверить, есть у меня СОVID-19 или нет. Нюхала копченое сало.Есть две новости. Коронавируса нет. Сала теперь тоже нет;клас = 0
96;"В рот мне ноги" - это способ, которым кошка будит меня по утрам;клас = 1
97;Российские сыровары решили побаловать покупателей и выпустили сыр "Covid-19".Он не имеет ни вкуса, ни запаха;клас = 0
98;Нам очень приятно, когда кошка мурлычет лёжа у нас на коленях – помогая снять стресс, но и для кошки самый лучший диван – это её хозяин;клас = 1
99;Если вы помните, что такое диск B: - вы входите в группу риска по коронавирусу;клас = 0
100;Дома жутко холодно, греемся всем, чем можно: кондиционером, компьютерами и котом!;клас = 1
